storenum,OPENDATE,address,lat,long
85,4/1/1974,"17309 I-30,Benton,AR,72015",34.5814361,-92.5774873
86,12/1/1973,"2825 N KANSAS EXPRESSWAY,Springfield,MO,65803",37.248551,-93.313068
87,7/1/1974,"1379 HOMER ROAD,Minden,LA,71055",32.6273452,-93.2509525
88,2/1/1974,"2100 NORTH MAIN,Mt. Grove,MO,65711",37.1499403,-92.2627457
89,2/1/1974,"94 CECIL STREET,Camdenton,MO,65020",38.0237471,-92.7252206
90,4/1/1974,"2115 S MAIN ST,Grove,OK,74344",36.5754906,-94.7691281
91,9/1/1974,"205 DEADRICK ROAD,Forrest City,AR,72335",35.0298686,-90.7910658
92,4/1/1974,"3020 SOUTH ELLIOTT,Aurora,MO,65605",36.9457618,-93.7186263
93,10/1/1974,"975 US HIGHWAY 51 NORTH,Covington,TN,38019",35.583789,-89.642455
94,7/1/1974,"8445 HWY 51 NORTH,Millington,TN,38053",35.3562643,-89.8958507
95,10/1/1974,"407 NO. STATE ST,Desloge,MO,63601",37.876269,-90.5122605
96,10/1/1974,"1700 NORTH 291 HIGHWAY,Harrisonville,MO,64701",38.6939624,-94.366815
97,11/1/1974,"628 HWY 51 BYPASS,Ripley,TN,38063",35.76117,-89.543195
98,2/1/1975,"2030 EAST MADISON,Bastrop,LA,71220",32.7776894,-91.8872407
99,2/1/1976,"1445 E CENTRAL,Union,MO,63084",38.4333248,-90.9721487
100,10/1/1974,"406 SOUTH WALTON BLVD,Bentonville,AR,72712",36.368298,-94.224492
101,2/1/1976,"500 SOUTH BISHOP,Rolla,MO,65401",37.937606,-91.778605
102,9/1/1974,"406 E 22ND STREET,Stuttgart,AR,72160",34.47746,-91.548898
103,8/1/1975,"196 SHAWNEE MALL DRIVE,Shawnee,OK,74804",35.385829,-96.921862
104,7/1/1974,"15427 SO. FIRST STREET,Milan,TN,38358",35.8774229,-88.7451522
105,8/1/1974,"2301 HARPER ROAD,Corinth,MS,38834",34.910239,-88.5020336
106,8/1/1974,"1405 MIDDLE ROAD,Fulton,KY,42041",36.5157874,-88.9001036
107,10/1/1974,"850 WAL-MART DRIVE,Martin,TN,38237",36.3433965,-88.8503379
108,2/1/1975,"1618 SOUTH DIVISION,Guthrie,OK,73044",35.8626677,-97.4253215
109,2/1/1975,"2000 NORTH WALNUT,Cameron,MO,64429",39.7573379,-94.2342727
111,11/1/1975,"2700 SOUTH SANTA FE,Chanute,KS,66720",37.652938,-95.4525782
112,4/1/1975,"1010 HWY 12 WEST,Starkville,MS,39759",33.4421126,-88.8516256
113,7/1/1975,"2001 SO. 1ST ST.,Chickasha,OK,73018",35.030918,-97.9310129
114,4/1/1975,"200 WALMART CIRCLE,Booneville,MS,38829",34.6765424,-88.5627669
115,9/1/1976,"1445 HWY 45 NORTH,West Point,MS,39773",33.6342701,-88.6603121
116,8/1/1975,"929 SOUTH PINE STREET,Vivian,LA,71082",32.8582459,-93.9851273
117,6/1/1975,"501 SOUTH PARK DRIVE,Broken Bow,OK,74728",34.0223143,-94.73949
118,4/1/1976,"1515 US HWY 278 EAST,Amory,MS,38821",33.9949107,-88.4952832
119,3/1/1976,"3150 HARRISON STREET,Batesville,AR,72501",35.7645056,-91.6146851
120,3/1/1976,"2716 NORTH CENTRAL AVENUE,Humboldt,TN,38343",35.840757,-88.912226
121,9/1/1975,"1800 SOUTH WOOD DRIVE,Okmulgee,OK,74447",35.6054333,-95.9618962
122,11/1/1975,"3051 EAST JACKSON BLVD.,Jackson,MO,63755",37.36255,-89.634531
123,6/1/1975,"1500 E. WRANGLER BLVD,Seminole,OK,74868",35.2466656,-96.6552489
124,3/1/1975,"8801 BASELINE ROAD,Little Rock,AR,72209",34.667801,-92.377131
125,4/1/1975,"2425 SOUTH ZERO ST,Fort Smith,AR,72901",35.3278643,-94.4108862
126,3/1/1976,"700 SOUTH BOWMAN BLV,Little Rock,AR,72211",34.74856,-92.4098379
127,2/1/1976,"1910 MARTIN LUTHER KING BLVD,Malvern,AR,72104",34.3853422,-92.8280721
128,8/1/1978,"1911 WEST PARKER RD,Jonesboro,AR,72404",35.816042,-90.73359
129,7/1/1975,"1715 NORTH COMMERCE STREET,Ardmore,OK,73401",34.193335,-97.144819
130,7/1/1975,"1000 WEST SHAWNEE ST,Muskogee,OK,74403",35.7698024,-95.3744869
131,11/1/1975,"2311 SOUTH JEFFERSON,Mt. Pleasant,TX,75455",33.134352,-94.965196
132,2/1/1976,"1213 SOUTH MAIN STREET,Kingfisher,OK,73750",35.8491423,-97.9325252
133,5/1/1976,"1040 S CONSTITUTION,Ashdown,AR,71822",33.6608046,-94.1183413
134,8/1/1976,"3105 WEST 3RD,Elk City,OK,73644",35.4125337,-99.4432165
135,4/1/1976,"1000 GRAVES ST.,Chillicothe,MO,64601",39.7766787,-93.5559755
136,4/1/1976,"1219 WEST DOOLIN,Blackwell,OK,74631",36.810401,-97.297254
137,10/1/1976,"111 NORTH PERKINS ROAD,Stillwater,OK,74075",36.1245699,-97.0513225
138,11/1/1977,"1923 EAST KEARNEY,Springfield,MO,65803",37.24141,-93.258638
139,7/1/1976,"1620 NORTH GREEN AVENUE,Purcell,OK,73080",35.0300271,-97.3660861
140,9/1/1976,"2500 DANIEL MCCALL DRIVE,Lufkin,TX,75901",31.2899733,-94.7317746
141,5/1/1976,"8301 ROGERS AVENUE,Fort Smith,AR,72903",35.349683,-94.3389966
142,5/1/1976,"2204 HWY 82 WEST,Clarksville,TX,75426",33.6117522,-95.0716087
143,6/1/1976,"310 WEST 5TH STREET,Benton,KY,42025",36.8572781,-88.350315
144,9/1/1976,"2875 WEST 6TH STREET,Fayetteville,AR,72704",36.05053,-94.201044
145,10/1/1976,"3310 W GEORGIA STREET,Louisiana,MO,63353",39.4337922,-91.0701886
146,3/1/1976,"1923 NORTH WOOD,Gilmer,TX,75644",32.7471895,-94.9379068
147,7/1/1976,"401 NORTH US HWY 75,Denison,TX,75020",33.7593784,-96.5873952
148,6/1/1976,"3855 LAMAR AVENUE,Paris,TX,75460",33.6619983,-95.5069605
149,3/1/1977,"184 OLD WINFIELD RD,Jonesboro,LA,71251",32.2272894,-92.7084048
150,10/1/1976,"3215 WILLIAMS AVENUE,Woodward,OK,73801",36.4160855,-99.3832549
151,3/1/1977,"432 SOUTH GEORGE NIGH EXWY,McAlester,OK,74501",34.9136633,-95.7451281
152,12/1/1976,"12862 STATE ROAD 21,De Soto,MO,63020",38.1489509,-90.577519
153,10/1/1976,"202 PARK PLAZA,New Albany,MS,38652",34.4915559,-89.0283817
155,8/1/1977,"5219 HWY 51 NORTH,Senatobia,MS,38668",34.6292479,-89.971298
156,1/1/1977,"STATE HWY 84 WEST,Caruthersville,MO,63830",36.1813698,-89.6681906
157,1/1/1977,"3509 EAST RACE AVENUE,Searcy,AR,72143",35.2503261,-91.6868361
158,5/1/1977,"2021 NORTH HWY 121,Bonham,TX,75418",33.5973865,-96.1922355
160,1/1/1977,"219 HIGHWAY 412,Ashflat,AR,72513",36.1628786,-95.7441768
161,5/1/1977,"180 VETERANS DRIVE N,Huntingdon,TN,38344",35.9967,-88.4381966
162,6/1/1977,"1201 WEST PETREE RD,Anadarko,OK,73005",35.0578409,-98.25025
163,2/1/1977,"4810 NORTH STREET,Nacogdoches,TX,75965",31.6500789,-94.6526382
164,2/1/1977,"350 WAL-MART CIRCLE,Pontotoc,MS,38863",34.252741,-89.021568
165,5/1/1977,"2121 HWY 79 SOUTH,Henderson,TX,75654",32.1329939,-94.8030602
166,3/1/1977,"1433 SO. SAM HOUSTON BLVD,Houston,MO,65483",37.308313,-91.9622007
167,4/1/1977,"910 UNITY ROAD,Crossett,AR,71635",33.137825,-91.9418479
168,2/7/1978,"12101 E 96TH ST. N,Owasso,OK,74055",36.294627,-95.838163
169,9/1/1977,"1400 NORTH CENTER,Lonoke,AR,72086",34.795699,-91.89668
171,11/1/1977,"1270 STATE HWY 4 BYPASS SW,Camden,AR,71701",33.568082,-92.6799105
172,7/1/1977,"5886 HWY 100,Washington,MO,63090",38.547993,-91.0331629
173,10/1/1977,"#1 MEMORIAL DRIVE,Potosi,MO,63664",37.925134,-90.7744548
174,10/15/1985,"2700 CLEARLAKE ROAD,Rockledge,FL,32922",28.3756716,-80.7550371
175,11/1/1977,"560 WEST POPLAR AVE,Collierville,TN,38017",35.047868,-89.681381
176,7/1/1977,"822 CITY AVENUE SOUTH,Ripley,MS,38663",34.723533,-88.95063
177,11/1/1977,"1210 MINERAL WELL AV,Paris,TN,38242",36.3020023,-88.3267107
178,11/1/1977,"914 E OKLAHOMA BLVD,Alva,OK,73717",36.7977892,-98.6525962
179,2/1/1977,"3520 W SUNSHINE ST.,Springfield,MO,65807",37.180509,-93.352238
180,3/14/1978,"1311 SOUTH JACKSON,Jacksonville,TX,75766",31.9517743,-95.263825
186,11/1/1977,"301 SO. VILLAGE ROAD,El Dorado,KS,67042",37.815008,-96.8914829
188,7/1/1977,"3439 WILLIAMS STREET,Cape Girardeau,MO,63701",37.301067,-89.585243
189,7/1/1977,"2206 NORTH BALTIMORE,Kirksville,MO,63501",40.2149109,-92.5823627
190,7/1/1977,"1500 EAST FIRST ST,Kennett,MO,63857",36.2368269,-90.0380148
192,9/15/1981,"2200 BROOKMEAD DRIVE,Columbia,TN,38401",35.598062,-87.051505
194,1/22/1985,"4900 GARTH ROAD,Baytown,TX,77520",29.776324,-94.9754279
195,7/1/1977,"2203 PATSY LANE,Excelsior Springs,MO,64024",39.329943,-94.2651039
196,7/1/1977,"1450 EAST MAIN,Carbondale,IL,62901",37.7370157,-89.183915
197,7/1/1977,"1730 E JACKSON ROAD,Macomb,IL,61455",40.458614,-90.6437443
198,7/1/1977,"1870 WEST MAIN ST.,Salem,IL,62881",38.6225245,-88.9875475
199,7/1/1977,"1501 WOODLAWN ROAD,Lincoln,IL,62656",40.1576644,-89.3909985
200,7/1/1977,"1205 W MORTON ROAD,Jacksonville,IL,62650",39.7232061,-90.2444149
201,7/1/1977,"120 CARLYLE PLAZA DRIVE,Belleville,IL,62221",38.5142932,-89.9540954
203,8/29/1978,"937 PARK CIRCLE DR,Brookfield,MO,64628",39.7686714,-93.0664047
204,2/14/1978,"500 US HWY 62 WEST,Princeton,KY,42445",37.1095595,-87.9047077
205,3/28/1978,"1002 BEACON STREET,Philadelphia,MS,39350",32.7697768,-89.1286606
206,3/28/1978,"2041 REDBUD BLVD,McKinney,TX,75069",33.2220629,-96.6299596
207,3/21/1978,"1004 NORTH BROADWAY,Cleveland,OK,74020",36.3205612,-96.4655577
208,4/4/1978,"2970 MILITARY AVENUE,Baxter Springs,KS,66713",37.007048,-94.7382231
209,6/1/1978,"1516 NORTH 18TH STREET,Ozark,AR,72949",35.5036905,-93.8454264
211,9/12/1978,"401 COKE STREET,Hillsboro,TX,76645",32.0053093,-97.0988967
212,11/1/1977,"333 INTERSTATE DRIVE,Norman,OK,73069",35.221383,-97.482465
213,5/16/1978,"1205 WEST FERDON ST,Litchfield,IL,62056",39.1826552,-89.6673132
214,10/10/1978,"800 WEST GIBSON,Jasper,TX,75951",30.9062648,-94.0141274
215,5/15/1979,"620 SOUTH APPLEGATE ST,Winona,MS,38967",33.4707628,-89.7355
216,3/27/1979,"2705 WALTON WAY,Marion,IL,62959",37.7427642,-88.9702958
217,9/5/1978,"801 WEST MAIN,Lewisville,TX,75067",33.046811,-97.013476
218,4/10/1979,"1017 MULBERRY AVENUE,Selmer,TN,38375",35.1396383,-88.5737089
219,10/3/1978,"3201 WEST BROADWAY,Sedalia,MO,65301",38.7092111,-93.2671865
220,10/17/1978,"951 SW WILSHIRE BLVD,Burleson,TX,76028",32.527902,-97.338221
221,10/31/1978,"1200 GARTH BROOKS BLVD,Yukon,OK,73099",35.4905012,-97.763747
224,6/13/1978,"110 DAVIDSON AVENUE,Mount Vernon,IL,62864",38.30974,-88.961191
225,10/24/1978,"2108 WEST BROADWAY,Sulphur,OK,73086",34.5063469,-96.9948901
226,10/17/1978,"201 US HWY 59 LOOP,Atlanta,TX,75551",33.1137419,-94.1643537
227,10/10/1978,"2400 SOUTH COUNTRY CLUB ROAD,El Reno,OK,73036",35.5105892,-97.9726759
228,9/19/1978,"1616 WEST HENDERSON,Cleburne,TX,76031",32.3612823,-97.3591399
229,10/31/1978,"512 INDUSTRIAL DRIVE,Trumann,AR,72472",35.689414,-90.517994
230,12/5/1978,"1501 EAST WALNUT STREET,Paris,AR,72855",35.293323,-93.716226
231,9/19/1978,"1419 N. COUNTRY CLUB RD.,Ada,OK,74820",34.7891343,-96.6556343
232,9/19/1978,"1901 SOUTH MISSISSIPPI,Atoka,OK,74525",34.3656312,-96.1415443
233,11/21/1978,"300 LEIGH AVE,Anna,IL,62906",37.4643658,-89.2226218
234,12/5/1978,"8301 NO. CHURCH ROAD,Liberty,MO,64158",39.230896,-94.4658665
235,11/28/1978,"1900 WEST MAIN,Corning,AR,72422",36.4113724,-90.5953728
236,2/1/1979,"1225 E LOOP 304,Crockett,TX,75835",31.320183,-95.435085
237,11/14/1978,"16 ARROWHEAD POINT SHPCNTR,Harrisburg,IL,62946",37.7383812,-88.540607
238,2/13/1979,"1655 WEST COLLEGE STREET,Pulaski,TN,38478",35.203766,-87.0601933
239,7/31/1979,"220 VETERAN MEM DR,Kosciusko,MS,39090",33.0573639,-89.5692034
240,6/19/1979,"2701 HWY 50,Commerce,TX,75428",33.2754758,-95.8956667
242,9/18/1979,"310 HEDGE LANE,Paola,KS,66071",38.6230743,-94.8549936
243,10/15/1980,"1971 WENTZVILLE PKWY,Wentzville,MO,63385",38.814389,-90.878218
244,7/31/1979,"5940 HWY 167 NORTH,Winnfield,LA,71483",31.9361093,-92.6536204
246,9/18/1979,"823 WEST ROGERS BLVD,Skiatook,OK,74070",36.367743,-96.013888
247,3/13/1979,"605 EAST MAIN,Henryetta,OK,74437",35.439763,-95.9748461
248,8/28/1979,"1406 EAST MILAM,Mexia,TX,76667",31.6856959,-96.4565458
249,3/6/1979,"831 HWY 59 SOUTH,Cleveland,TX,77327",30.333465,-95.094812
250,3/27/1979,"103 WEST POLK ST,Warsaw,MO,65355",38.2620049,-93.3713959
251,7/10/1979,"135 NE LOOP 564,Mineola,TX,75773",32.688026,-95.4822066
260,7/17/1979,"1200 NO. HWY 77,Waxahachie,TX,75165",32.417101,-96.838465
261,12/1/1981,"4019 CENTRAL AVENUE,Hot Springs,AR,71913",34.4548162,-93.0641915
262,7/31/1979,"919 GIACONE DRIVE,Benton,IL,62812",37.9967163,-88.9200685
264,6/26/1979,"175 BEASLEY DRIVE,Dickson,TN,37055",36.0603413,-87.380901
265,9/25/1979,"1900 WEST MOORE AVE,Terrell,TX,75160",32.739478,-96.305842
266,6/24/1980,"1601 WEST STATE HIGHWAY 114,Grapevine,TX,76051",32.9319149,-97.094954
267,5/1/1980,"1212 SOUTH MADISON,Webb City,MO,64870",37.133505,-94.4751799
268,10/23/1979,"175 J.I. BELL LANE,Savannah,TN,38372",35.2244931,-88.2164597
269,10/29/1979,"1002 NW SHERIDAN RD,Lawton,OK,73505",34.619041,-98.424242
270,8/4/1981,"906 WEST MAIN STREET,Homer,LA,71040",32.8006633,-93.055501
271,8/7/1979,"8420 US HWY 287 NO.,Bowie,TX,76230",38.876777,-103.12987
272,8/21/1979,"3600 MALLORY LANE,Franklin,TN,37067",35.939628,-86.8194369
273,7/3/1979,"100 INTERCHANGE DRIVE,Fulton,MS,38843",34.2412737,-88.3994823
274,8/21/1979,"1110 BATTLEGROUND DRIVE,Iuka,MS,38852",34.8045096,-88.2025125
275,10/23/1979,"1620 WEST CHURCH,Livingston,TX,77351",30.7160407,-94.9550227
276,2/18/1981,"OKLAHOMA HWY 9 EAST,Stigler,OK,74462",35.2536239,-95.2260809
277,3/4/1980,"501 SW 19TH STREET,Moore,OK,73160",35.320798,-97.4926179
278,6/30/1981,"1645 EAST INDUSTRIAL,Shreveport,LA,71105",32.4020243,-93.7897461
279,2/12/1980,"926 E. COLLIN RAYE DR.,De Queen,AR,71832",34.0455146,-94.3191772
280,10/30/1979,"709 WEST HWY 79,Rockdale,TX,76567",30.6425006,-97.0322674
298,8/12/1980,"1972 HWY 431,Boaz,AL,35957",34.214681,-86.153802
299,9/30/1980,"150 WALTON AVENUE,Bowling Green,KY,42104",36.9518022,-86.4352402
300,10/14/1980,"1625 PELHAM SOUTH,Jacksonville,AL,36265",33.7882987,-85.7641398
301,8/12/1980,"340 EAST MEIGHAN BLVD,Gadsden,AL,35903",34.0101468,-85.9890427
302,9/30/1980,"550 E. INDUSTRIAL PARK RD #11,Murphysboro,IL,62966",37.787034,-89.3238655
303,9/3/1980,"950 MACKIE DRIVE,Holly Springs,MS,38635",34.7675967,-89.4486894
304,10/23/1979,"3360 TOM AUSTIN HWY,Springfield,TN,37172",36.483816,-86.887723
305,11/20/1979,"905 HWY 16 WEST,Carthage,MS,39051",32.726276,-89.547394
306,2/26/1980,"1450 NO. BRINDLEE MTN. PKWY,Arab,AL,35016",34.341451,-86.50064
307,11/16/1982,"1025 GLENWOOD DRIVE,West Monroe,LA,71291",32.5087623,-92.1561877
323,9/3/1980,"1043 WASHINGTON,Mansfield,LA,71052",32.0313603,-93.7108078
324,11/3/1981,"HWY 16 & 66 & 48,Bristow,OK,74010",38.716005,-121.7973987
325,10/14/1980,"908 WALTON WAY,Richmond,MO,64085",39.2647199,-93.9615363
326,10/21/1980,"HWY 13 & 19TH STREET,Higginsville,MO,64037",32.8502132,-87.8725216
327,8/5/1980,"1107 SOUTH MAIN STREET,Jay,OK,74346",36.4182048,-94.8057338
328,4/21/1981,"961 N MARKET STREET,Waterloo,IL,62298",38.358887,-90.157389
329,4/15/1980,"5560 MCCLELLAN BLVD,Anniston,AL,36206",33.7182441,-85.8183733
330,11/11/1980,"9002 NORTH NAVARRO,Victoria,TX,77904",28.877723,-96.994566
331,2/10/1981,"525 NORTH CITY SERVICE HWY,Sulphur,LA,70663",30.233154,-93.326094
332,10/13/1981,"6140A UNIV DRIVE,Huntsville,AL,35806",34.74293,-86.6762313
333,2/3/1981,"1701 NORTH MAIN,Beaver Dam,KY,42320",37.4145093,-86.8774426
334,11/11/1980,"1030 W MAIN,Carlinville,IL,62626",39.2797894,-89.9017241
335,11/11/1980,"2196 EMPORIUM DRIVE,Jackson,TN,38305",35.6689998,-88.8543073
336,8/4/1980,"1308 SOUTH ROCK STREET,Sheridan,AR,72150",34.2890355,-92.3988443
337,11/18/1980,"1025 WALTON DRIVE,Fredericktown,MO,63645",37.5597754,-90.2940069
338,9/9/1980,"29 S.W. 1ST LANE,Lamar,MO,64759",37.4952832,-94.300878
339,11/18/1980,"1123 HIGHWAY 79 / 167 BYPASS,Fordyce,AR,71742",33.832733,-92.409983
340,6/30/1981,"1110 WEST GENTRY,Checotah,OK,74426",35.4642094,-95.5000042
341,11/18/1980,"1174 PONY EXPRESS HWY,Marysville,KS,66508",39.843194,-96.6049279
342,11/18/1980,"2207 IOWA,Hiawatha,KS,66434",39.8487006,-95.5615296
348,11/18/1980,"427 HWY 425 NORTH,Monticello,AR,71655",33.6340958,-91.8018429
349,11/18/1980,"HIGHWAY 65 SOUTH,Dumas,AR,71639",37.6941226,-93.1026797
350,10/30/1984,"101 EAST DAVID DRIVE,York,NE,68467",40.8266869,-97.5977455
352,11/18/1980,"HWY 150/2206 STATE ST,Chester,IL,62233",37.8519464,-89.8196089
353,6/2/1981,"2121 HWY 16 SOUTH,Graham,TX,76450",33.0825506,-98.5833028
354,6/30/1981,"1208 WEST HIGHWSY 28,Owensville,MO,65066",38.3325946,-91.5270866
355,11/18/1980,"2900 PEPPERRELL PKWY,Opelika,AL,36801",32.6356165,-85.4205864
356,9/1/1981,"1717 SOUTH COLLEGE STREET,Auburn,AL,36830",32.571243,-85.499285
357,7/21/1981,"PO BOX 12 1003 WEST NEWTON,Versailles,MO,65084",38.4315579,-92.8436302
358,6/2/1981,"200 HIGHWAY 64 WEST,Alma,AR,72921",35.4820978,-94.2190815
359,11/17/1981,"3919 NO. MALL AVE,Fayetteville,AR,72703",36.1225541,-94.152832
360,6/30/1981,"2004 EAST MAIN,Cushing,OK,74023",35.986784,-96.740321
361,7/8/1981,"601 BELT LINE ROAD,Collinsville,IL,62234",38.6909745,-89.9760857
362,8/18/1981,"2365 HIGHWAY 43 WEST,Winfield,AL,35594",33.935336,-87.837772
363,12/1/1981,"855 S CHEROKEE DRIVE,Marshall,MO,65340",39.1129773,-93.2134018
364,3/31/1981,"810 HURST STREET,Center,TX,75935",31.8054531,-94.1915683
365,3/31/1981,"5520 HWY 80 EAST,Pearl,MS,39208",32.286205,-90.046216
366,2/1/1983,"4525 HWY 411,Madisonville,TN,37354",35.512593,-84.360588
368,11/11/1980,"300 MAIN STREET,Parsons,KS,67357",37.3402985,-95.2379594
369,11/18/1980,"2202 PIKE RD,Winfield,KS,67156",37.227142,-96.993564
378,9/29/1981,"209 ARIZONA AVENUE,Holton,KS,66436",39.4589237,-95.7479241
379,10/20/1981,"2004 WEST MARLER LANE,Ozark,MO,65721",37.0037007,-93.2231143
380,2/2/1982,"1359 WEST 2ND STREET,Waldron,AR,72958",34.9003681,-94.1069607
381,8/4/1981,"2720 EAST HWY 190,Copperas Cove,TX,76522",31.1186146,-97.870642
382,3/3/1981,"2101 PRINCETON RD,Ottawa,KS,66067",38.5816191,-95.2656033
